good,good_id
Борщ из кваш.кап/постный 250гр,good_0
Тефтели в томатном соусе 100/40гр,good_1
Сердечки куриные/томат/кинза 75/50гр,good_2
Цыпленок/овощи/с.терияки 100/40гр,good_3
Лапша Удон/овощи 150гр,good_4
Говядина с ананас/перец 75/75гр,good_5
С-т микс/кр.чечев/лук/томаты/зап 120 гр,good_6
Свекла/зелень/масло 120гр,good_7
Кур.окорочка жар/с.майонез 125гр,good_8
Сациви из курицы 120гр,good_9
Морковь по-тайски 120гр,good_10
Кета с дольками апельсина/лайма 80/20гр,good_11
Тосты с грибной икрой 120гр,good_12
Напиток из ягод с/м/без сахара 200гр,good_13
Гуляш из говядины 75/50гр,good_14
С-т из огур/перец/масло 120гр,good_15
Фасоль стручк/овощи 150гр,good_16
Напиток яблочно-клюквенный 200гр,good_17
Суп перловый/грибы 250гр,good_18
С-т Панагюрский 120гр,good_19
Индейка филе копченая 100гр,good_20
Компот из сухофруктов 200гр,good_21
Гречневая лапша/цуккини/дайкон/пер 200гр,good_22
Картофель с розмарином 150гр,good_23
Рассольник Васнецовский/грибы/пост 250гр,good_24
Кабачки гриль/с.йогуртовый 150/20гр,good_25
Капуста цветная/с.сливочный/сыр 200гр,good_26
Котлеты по-киевски 150гр,good_27
Морковь/груша 120гр,good_28
Жаркое из индейки/булгур 200гр,good_29
Окрошка с колбасой/квас 250гр,good_30
Кабачки гриль 150гр,good_31
Рыба жар/с.медово-горчичный 90/20гр,good_32
Овощи печеные 200гр,good_33
Булочка с сыром 60гр,good_34
Кур.филе отварное/овощи 100гр,good_35
Лимонад клубнично-имбирный 200гр,good_36
Пирожок с капустой/яйцо,good_37
Перец болгарский/овощи 200гр,good_38
С-т из тунца/з.пряная 120гр,good_39
Медальоны куриные Карри 100гр,good_40
Суп-пюре из овощей с/м/пост 250гр,good_41
Кур.филе/тыквенный конфитюр 140/20гр,good_42
Морковь/с.земляничный 120гр,good_43
С-т Посейдон/майонез 120гр,good_44
Картофель с кр.паприкой 150гр,good_45
Макароны с базиликом 150гр,good_46
С-т айсберг/огурец/масло 120гр,good_47
Напиток Яблоневый сад 200гр,good_48
Макароны 150гр,good_49
Винегрет с сельдью 120гр,good_50
Сельдь с печеной свеклой 120гр,good_51
Рис отварной 150гр,good_52
Люля-кебаб 100/20гр,good_53
Лазанья из птицы 200гр,good_54
Баклажаны с овощами/чеснок 150гр,good_55
Капуста с кумином 150гр,good_56
Сотэ из баклажан 200гр,good_57
Котлеты Пожарские 100гр,good_58
Ланч бокс маленький 1шт,good_59
Рагу летнее/овощи 200гр,good_60
Капуста с овощами 150гр,good_61
Щи Боярские/мясо 250гр,good_62
Напиток Каркаде 200гр,good_63
Кур.филе с болг.перцем 80/20гр,good_64
С-т Столичный/кур/майонез 120гр,good_65
Плов с овощами 200гр,good_66
С-т из огур/помидор/морк/масло 120гр,good_67
Солянка овощная 250гр,good_68
Свинина/помидор/перец 75/75гр,good_69
Картофель по-шведски/сыр 150 гр,good_70
Рыба по-ленинградски 80/20гр,good_71
С-т из кальмар/айсберг/с.цезарь 120гр,good_72
Рыба жар/баклажан 80/40гр,good_73
Говядина с рисовой лапшой 200гр,good_74
Суп вермишелевый/кур 250гр,good_75
С-т из жар.груши/айсберг/фета 120гр,good_76
Суп-пюре из курицы 250гр,good_77
Рис с шафраном 150гр,good_78
С-т Оливье/креветки/заправка 120гр,good_79
Суп Ароматный/тыква 250гр,good_80
Сельдь с картофелем 120гр,good_81
Напиток цитрусовый/без сахара 200гр,good_82
Рулет из индейки/шпинат/с.сливоч100/20гр,good_83
Жаркое из овощей 200гр,good_84
Рис с овощами 150гр,good_85
Борщ Сибирский/мясо 250гр,good_86
Харчо из баранины 250гр,good_87
Холодец из индейки 120гр,good_88
С-т Витаминный/масло 120гр,good_89
С-т Морской коктейль/овощи 120гр,good_90
С-т из помидор/ог/маслин/брынзы/ма 120гр,good_91
Котлета мясная/с.луковый 100/40 гр,good_92
С-т из помидор/зелень/льненое масло100гр,good_93
С-т Слоеный/краб.пал 120гр,good_94
Картофель/ассорти из грибов 150гр,good_95
Пирожок с рисом/яйцо,good_96
Витки ветчиные 120гр,good_97
Фасоль Лима/с.сальса 150 гр,good_98
С-т из щавеля/карт.черри/огур/яйцо 120гр,good_99
Лаваш с мясом/с.сальса 200гр,good_100
Помидоры по-грузински/рыба 120гр,good_101
Гречка с жар.луком 150гр,good_102
Колбаски Мюнхенские/с.медово-горч 110/20,good_103
Щи зеленые/постные 250гр,good_104
Суп-пюре из брокколи/пост 250гр,good_105
Поджарка из свинины 75/25гр,good_106
Помидоры запеч/укроп 200гр,good_107
Рыба жар/лук порей 80/40гр,good_108
Биточки мясные паровые 100гр,good_109
С-т Панцанелла/овощной 120гр,good_110
Свинина/с.тар-тар 80/20гр,good_111
Суп-пюре сырный 250гр,good_112
Компот из св.груш/без сахара 200гр,good_113
Рыба жар/под маринадом 80/40гр,good_114
С-т романо/базилик/мандарин/заправ 120гр,good_115
Кур.филе/с.кисло-сладкий 75/75гр,good_116
Суп из индейки/кр.чечевица 250гр,good_117
Детокс вода/огур/лимон/баз 200гр,good_118
Шарики из ризотто/грибы/фета 120 гр,good_119
Борщ из кваш.кап/мясо 250гр,good_120
Картофель с укропом 150гр,good_121
Картофель с карри 150гр,good_122
Пирожок с картоф/бекон,good_123
Рассольник по-старорусски/овощи 250гр,good_124
Бифштекс рубл.с яйцом 100/40гр,good_125
Террин из овощей/микс грибов 120гр,good_126
Харчо из говядины 250гр,good_127
С-т из белой фасоли/перец/масло 120гр,good_128
Биточки куриные паровые 100гр,good_129
Солянка мясная/копчености/окорок 250гр,good_130
Кур.окорочка отварные 125гр,good_131
Суп гречневый/грибы 250гр,good_132
Кабачки жар/овощи 150гр,good_133
Пирожок Сосиска в тесте,good_134
Тар-тар из кальмаров 120гр,good_135
КусКус с овощами 150гр,good_136
Плов из баранины 200гр,good_137
С-т Пушкин с опятами 120гр,good_138
Эскалоп из свинины/лук фри 80/20гр,good_139
Язык отварной 75гр,good_140
С-т Оливье по-Старорусски/майонез 120гр,good_141
Суп овощной/Павлодарский 250гр,good_142
С-т Киноа/морковь/перец 120гр,good_143
Кукурузное рагу 150гр,good_144
Свекла/сельдь/с.крем-чиз 120гр,good_145
Печень запеч/сметана 100/20,good_146
Рулет из курицы/сыр 120гр,good_147
Свекла/с.зеленый 120 гр,good_148
С-т из б/к/укроп 120гр,good_149
Фрикадельки по-итальянски 100/40гр,good_150
С-т Карри/кур/майонез 120гр,good_151
С-т из к/к с огурцами 120гр,good_152
Котлета мясная/с.сливочн/кинза 100/20гр,good_153
Суп Деревенский/пшено 250гр,good_154
Перец болгарский гриль/с.йогурт 150/20гр,good_155
Свинина/с.кисло-сладкий 75/75гр,good_156
Кур.филе в горчице/тимьян 80/20гр,good_157
Говядина туш/квас 80/20гр,good_158
Жаркое по-домашнему/свинина 200гр,good_159
С-т из огур/помидор/айсберк/з.дом 120гр,good_160
Пирожок Слойка/курица,good_161
Кабачки туш/грибы 200гр,good_162
Рыба заливная с яйцом 120гр,good_163
Свекла/чернослив/майонез 120гр,good_164
Рыба жар/яйцо/кунжут/с.терияки 120/20/10,good_165
Террин из свеклы 120гр,good_166
Аджан андали/пост 200гр,good_167
Свинина/помидор/сыр 80/20гр,good_168
Говядина по-шанхайски 75/50гр,good_169
С-т из горбуши/карт/яйцо/майонез 120гр,good_170
Перловка с грибами 150гр,good_171
С-т из помидор/редис/масло 120гр,good_172
Суп гороховый/постный 250гр,good_173
Суп картофельный/грибы 250гр,good_174
Рататуй с яблоками 200гр,good_175
Винегрет Петровский 120гр,good_176
Окрошка сборная мясная/кефир 250гр,good_177
Огурцы малосольные 120гр,good_178
Шницель рыбный/помидор/сыр 100/20гр,good_179
Оладьи из печени/сметана 100/20гр,good_180
С-т из помидор/зелень/масло 120гр,good_181
Рог Изобилия 150гр,good_182
Мелиндзасалата 120гр,good_183
Пирожок с ветч/сыр 60гр,good_184
Пельмени со сметаной 200/20гр,good_185
Щи зеленые/мясо/холодные 250гр,good_186
Суп щавелевый/мясо 250гр,good_187
Крабовый мусс/крутоны 120 гр,good_188
С-т из огур/редис/масла 120гр,good_189
Кур.филе гриль/без масла/шпинат 80/20гр,good_190
Рулет из курицы/чернослив 120гр,good_191
Шашлык из кур/медово-горчичный мар 100гр,good_192
Овощи по-карпатски 150гр,good_193
Морковь/дайкон/огурец/масло 120гр,good_194
Карпаччо из сала/картоф/грибы 120гр,good_195
С-т из кур/салат/перец/с.горчичный 120гр,good_196
Хашбрауны 2шт/100гр,good_197
Морковь/курага 120гр,good_198
Кнели мясные паровые 100гр,good_199
С-т из редиса/яйцо/майонез 120гр,good_200
С-т из огур/помидор/редис/масло 120гр,good_201
Суп гороховый/мясо 250гр,good_202
С-т Вегетарианский/масло 120гр,good_203
Овощи с/м отварные 150гр,good_204
Хлеб 1 кусочек,good_205
Суп-гуляш с говядиной 250гр,good_206
Тефтели Ежики 100/40гр,good_207
Бефстроганов из говядины 75/50гр,good_208
Винегрет с солеными грибами 120гр,good_209
Борщ Московский/мясо 250гр,good_210
Суп фасолевый/помидор 250гр,good_211
Пилита из индейки 100/20гр,good_212
Ланч бокс большой 1шт,good_213
Уха с расстегаями 250гр,good_214
С-т из кур/черри/кукуруза/майонез 120гр,good_215
Картофель по-деревенски 150гр,good_216
Картофель паприкаш 150гр,good_217
Пилаф из трех круп 150гр,good_218
С-т из кур/грибы/корнишоны 120гр,good_219
Буженина копченая 100гр,good_220
Макароны с паприкой 150гр,good_221
Суп-пюре из брокколи 250гр,good_222
Рулет куриный/овощи на пару 100гр,good_223
Капуста цветная Гратен 200гр,good_224
Овощи гриль/з.йогуртовая 150/20гр,good_225
С-т из говяд/цуккини/майонез 120гр,good_226
С-т из кальмар/краб.пал/майонез 120гр,good_227
Суп фасолевый/кур/петрушка 250гр,good_228
Капуста тушеная 150гр,good_229
Говядина туш/сливки/травы 75/50гр,good_230
Суп Брамборочка 250гр,good_231
С-т Тайский/рис.бумага/терияки 120гр,good_232
С-т из индейки/жульен овощной 120гр,good_233
С-т Цезарь Шведский/бекон 120гр,good_234
Говядина туш/морковь беби 75/50гр,good_235
Рыба жар/розмарина/лайм 80/20гр,good_236
С-т из к/к с редисом 120 гр,good_237
Пирог Осетинский/сыр 1кусок,good_238
Брокколи на пару/с.кокосовый 150гр,good_239
Плов из говядины 200гр,good_240
Суп-пюре из лука порей 250гр,good_241
С-т Чука/рисовая лапша 120гр,good_242
Морс Таежный 200гр,good_243
С-т Ницца/тунец 120гр,good_244
Свекла запеч/брусника 120гр,good_245
Суп-пюре сырный/по-гетеборгски/бр 250гр,good_246
Компот из ананасов/ягод/без сахара 200гр,good_247
Компот из ананасов/ягод 200гр,good_248
С-т Оливье/колбаса/майонез 120гр,good_249
Гаспачо холодный 250гр,good_250
Свинина под с.Инкассе 80/20гр,good_251
Лопатка свиная/горчица 80гр,good_252
С-т из моркови/кур.филе/яблоки 100гр,good_253
Компот из винограда/мяты 200гр,good_254
С-т коктейль/кальмары/майонез 120гр,good_255
Ватрушка картофельная/фета/порей/ти200гр,good_256
Киноа с морковью/кабачки/перец 150гр,good_257
Биточки по-селянски 100/40гр,good_258
Помидоры Провансаль 200гр,good_259
С-т из краб.пал/огур/соус 120 гр,good_260
Кабачки с кур.печенью/кунж.масло 120гр,good_261
Щи Луговые/щавелевые/яйцо 250гр,good_262
Оладьи из печени 100/20гр,good_263
С-т айсберг/помидор/масло 120гр,good_264
Икра из тыквы 120гр,good_265
Шницель куриный/натуральный 100гр,good_266
Соль 1кг,good_267
Щи по-купечески/овощи 250гр,good_268
Говядина туш/черная фасоль 75/75гр,good_269
Пудинг из шпината с сыром 200гр,good_270
Пирожок с курицей,good_271
С-т айсберг/редис/огур/дом.запра 120гр,good_272
Сельдь по-деревенски 120гр,good_273
Студень мясной 120гр,good_274
Свекла/курага/майонез 120гр,good_275
Говядина отварная 75гр,good_276
Индейка запеченная в зелени 80гр,good_277
Котлета куриная б/п 100гр,good_278
С-т с семечками/масло 120гр,good_279
Суп Абхазский/говядина 250гр,good_280
Колбаски Охотничьи на гриле 115/20гр,good_281
Картофель запеченый 150гр,good_282
Суп огуречный/йогурт/базилик 250гр,good_283
Рыба отв/с.из петрушки 80/20гр,good_284
Котлета Московская 100гр,good_285
Рис по-македонски 150гр,good_286
Куриная Бабка 120гр,good_287
Котлета из индейки на пару 100/10гр,good_288
Медальоны свиные Терияки 100гр,good_289
Пирожок Слойка/капуста,good_290
С-т из кур.карри/сельдерей/гр.орех 120гр,good_291
Пенне с.сливочный/брокколи/бекон 250г,good_292
Котлета мясная на пару/с.из перца 100/20,good_293
Рыба в листьях пекинской капусты 140гр,good_294
С-т Слоеный/рыбный 120гр,good_295
Рулетики рыбные/овощи 100/40гр,good_296
Тыква с медом 150гр,good_297
С-т из баклажан/тунца 120гр,good_298
Булгур/томаты/кабачки 120гр,good_299
Детокс вода/клубника 200гр,good_300
С-т из буженины/с.зеленый 120гр,good_301
Тар-тар из сельди/з.лимонная 120гр,good_302
Индейка/припущ.овощи/грибы 80/20гр,good_303
Бифштекс с помидором 100/20гр,good_304
С-т Летние овощи/масло 120гр,good_305
Говядина с ананас/с.кисло-слад 75/75гр,good_306
Напиток Яблоневый сад/без сахара 200гр,good_307
Зразы рыбные/луком/яйцо 100гр,good_308
Суп картофельный/сл.перец 250гр,good_309
Картофель Черри в мундире 150гр,good_310
Картофель Юкатан 150гр,good_311
Бургер из свинины 120гр,good_312
Пирожок с картоф/грибы,good_313
Рулет куриный/фрукты/сыр 100гр,good_314
С-т из кальмар/айсберг/яйцо/том/за 120гр,good_315
Картофельное пюре 150гр,good_316
Суп-шурпа/узбекский горох 250гр,good_317
Борани из овощей 150гр,good_318
Котлета из индейки/булгур/брынза 100гр,good_319
Суп-пюре томатный/сыр 250гр,good_320
Рыба по-монастырски 80/30гр,good_321
Рыба жар/с.тар-тар 80/20гр,good_322
Морковь/ананас/йогурт 120гр,good_323
Свекольник холодный 250гр,good_324
Свекла/орехи/майонез 120гр,good_325
С-т Баварский/красн.капуста 120гр,good_326
Свинина Бризоль 80/20гр,good_327
С-т из белых бобов/перец/с.зеленый 120гр,good_328
С-т из краб.пал/огур/кукур/майонез 120гр,good_329
Кабачки фарш/мясо/рис 200/40гр,good_330
С-т айсберг/моцарелла/заправка 120гр,good_331
Суп вегетарианский 250гр,good_332
Рулетики из индейки/шпинат 120гр,good_333
Окрошка овощная/квас 250гр,good_334
Плов из курицы 200гр,good_335
Компот из св.груш 200гр,good_336
Рыба отв/овощи на пару 80/20гр,good_337
С-т Романо/ананас/переп.яйцо/запр 120 гр,good_338
Кур.ножка Тандури 125гр,good_339
С-т с треской/микс/черри/заправка 120гр,good_340
Рыба жар/лимонной корочке/с.сальса 130гр,good_341
Фрикассе из кур 75/50гр,good_342
Айлазан из свежих овощей 200гр,good_343
Напиток из шиповника/без сахара 200гр,good_344
Напиток цитрусовый 200гр,good_345
Рассольник рыбный/булгур 250гр,good_346
Запеканка картоф/мясо 200гр,good_347
Шницель рыбный/натуральный 100гр,good_348
Говядина шпигованная 100гр,good_349
Шашлык из свинины 80гр,good_350
Суп Лигурийский побережный/рыб 250гр,good_351
С-т из помидор/базилик/масло 120гр,good_352
Утиное филе/с.ягодный 100/20гр,good_353
С-т Шармэль/морковь/апельсин/йог 120гр,good_354
Шницель свиной рубленый 100гр,good_355
С-т овощной/с.киви 120гр,good_356
Котлета куриная/по-суздальски 100гр,good_357
Сосиска Венская 1шт/Мик,good_358
Грибовница со взбитыми яйцами 250гр,good_359
С-т Цезарь/курица 120гр,good_360
Суп-пюре из тыквы 250гр,good_361
С-т из сельди/грибы/перец/икра 120гр,good_362
С-т из говяд/ростки сои/заправка 120гр,good_363
Грибы марин/лук/ароматное масло 120гр,good_364
С-т Мясной/майонез 120гр,good_365
С-т из помидор/авокадо/ветч/запр 120гр,good_366
Кур.филе с помидор/базилик 80/40гр,good_367
Пирожок Слойка/картоф/грибы,good_368
Баклажаны/кабачки/с.йогурт/мята 120гр,good_369
С-т в китайском стиле/курица 120гр,good_370
Морковь/груша/сметана 120гр,good_371
Напиток из ягод с/м 200гр,good_372
Индейка филе отварная 80гр,good_373
Рис по-венгерски 150гр,good_374
С-т из дайкон/мяса 120гр,good_375
С-т из б/к марин/перец/аром.масло 120гр,good_376
Соте из овощей 120гр,good_377
Картофель отварной 150гр,good_378
С-т картофельный/сельдь/с.апельс 120гр,good_379
Рыба по-днепровски 80/20гр,good_380
Кур.печень/сливки/чили 100/40гр,good_381
Свинина жаренная с ананасом 80/50гр,good_382
Тепаньяки с овощами/вешенки 200гр,good_383
С-т Садовый 120гр,good_384
Сельдь Нисуаз 120гр,good_385
С-т из кваш.капусты/мед/клюквы 120гр,good_386
Баклажаны с овощами 200гр,good_387
Капуста туш/грибы 150гр,good_388
Утиная ножка/медовая глазурь 125гр,good_389
Чили кон карне/говядина 75/50гр,good_390
С-т из огур/помидор/масло 120гр,good_391
Солянка мясная/копчености/рулька 250гр,good_392
С-т Мимоза 120гр,good_393
С-т из запеченых овощей/Тофу 120гр,good_394
С-т из кваш.капусты 120гр,good_395
Напиток из шиповника 200гр,good_396
Пирог Осетинский/картоф/грибы 1кусок,good_397
Говядина по-сельски 80гр,good_398
Говядина с соусом Ингвар 80/30гр,good_399
Пирог Осетинский/мясо 1кусок,good_400
С-т из огур/помидор/перец/масло 120гр,good_401
Рисовая лапша/овощи/кунжут 200гр,good_402
Рыба по-провански 80/30гр,good_403
Стейк из свиной шеи/Гремолата 80/20гр,good_404
Картофель с кунжутом 150гр,good_405
Напиток из разных фруктов 200гр,good_406
Суп по-азиатски/куриный 250гр,good_407
Кур.филе фарш.зеленью 120гр,good_408
Рыба жар/з.имбирная 80/20гр,good_409
Картофель жареный 150гр,good_410
Щи из св.кап/треска/с.овощной 250гр,good_411
Щи из щавеля с кап б/к и курицей 250гр,good_412
Окунь/тимьян/пергамент/на пару 80гр,good_413
Капуста цветная/брокколи/с.терияки 150гр,good_414
Оладьи из печени/грибы/сметана 100/20,good_415
Пирожок с зел.лук/яйцо,good_416
Брокколи/миндаль/чили на пару 150гр,good_417
Картофель Пушкин 150гр,good_418
Холодец по-домашнему 120гр,good_419
Лазанья овощная 200гр,good_420
Напиток Каркаде/без сахара 200гр,good_421
С-т из б/к/огурец 120гр,good_422
Солянка рыбная 250гр,good_423
Рагу по-молдавски/пост 200гр,good_424
Кур.окорочка/б/кож/семена льна/пар125/5,good_425
Пхали из свеклы 120гр,good_426
С-т Оливье/три вида мяса/майонез 120гр,good_427
Борщ холодный 250гр,good_428
Капуста по-болгарски 120гр,good_429
С-т с хурмой/помидор/брынза 120гр,good_430
Фасоль стручк/овощи/с.томатный 150гр,good_431
Гречка отварная 150гр,good_432
Гречка с грибами 150гр,good_433
Пирожок Слойка/сыром,good_434
С-т Оливье/морская кап/маслины 120гр,good_435
Фасоль стручк/миндаль 150гр,good_436
Лобио 120гр,good_437
Детокс вода огур/лимон/баз 200 гр,good_438
С-т из кур/картоф/перец/майонез 120гр,good_439
Напиток яблочно-клюквенный/без сах 200гр,good_440
Рыба жар/лимон 80/20гр,good_441
С-т микс/авокадо/нут/томаты 120гр,good_442
Говядина Мексика 75/75гр,good_443
Сельдь под шубой 120гр,good_444
Брокколи/морковь/гриле 150гр,good_445
Напиток яблочно-апельсиновый б/сах 200гр,good_446
Кейк из трески/с.коктейль 120/30гр,good_447
Индейка/грибы/сыр 80/20гр,good_448
С-т Чука/с.ореховый 120гр,good_449
С-т из тыквы/изюм 120гр,good_450
С-т с тунцом/фасоль/айсберг/гр 120гр,good_451
Свиная корейка с томат.сальсой 80/20гр,good_452
Суп итальянский/кур 250гр,good_453
Язык отварной/болг.перец 75/20гр,good_454
Индейка/с.кокосовый 80/40гр,good_455
Бифштекс куриный 100гр,good_456
Говядина с цуккини/баклаж/с.тайск75/50г,good_457
Рассольник по-старорусски/курица 250гр,good_458
Пирожок с грибами,good_459
Рыба запеч/травы/пергамент 80гр,good_460
Свинина/с.чимичурри 80/20гр,good_461
Рагу овощное 150гр,good_462
Чечевица с овощами/томатами 150гр,good_463
Суп из чечевицы/перца 250гр,good_464
Борщ Кубанский/овощной 250гр,good_465
Бургер из цыпленка/грибы 120/30,good_466
С-т из картоф.черри/овощи/з.из брынз120,good_467
С-т Оливье/курица/майонез 120гр,good_468
Жаркое по-домашнему/курица 200гр,good_469
Суп-пюре из шампиньонов 250гр,good_470
С-т из дайкон/квашен.кап/морк/масло 120г,good_471
Суп-пюре томатный/пост 250гр,good_472
Капуста туш/помидор 150гр,good_473
С-т из перца/брынзы/масла 120гр,good_474
Рассольник Ленинградский/кур 250гр,good_475
Жаркое из свинины/грибы 200гр,good_476
Икра из кабачков 120гр,good_477
С-т из помидор/брынзы/масла 120гр,good_478
Карпаччо из помидор/хруст.баклажан 120гр,good_479
С-т из свежих овощей 120гр,good_480
С-т из рисовой лапши/овощи/заправк 120гр,good_481
С-т из б/к/морковь/заправка 120гр,good_482
Щи из св.кап/помидор 250гр,good_483
Свинина/помидор 80/20гр,good_484
Жульен овощной/м.кунжутное 120гр,good_485
С-т с уткой/с.из брусники 120гр,good_486
Котлеты Полтавские 100гр,good_487
Лазанья мясная 200гр,good_488
Гуляш по-испански/индейка 75/50гр,good_489
Компот из сухофруктов/без сахара 200гр,good_490
Бульон из кур прозрачный/яйцо 250гр,good_491
Капуста по-восточному 120гр,good_492
Компот из св.груш/ягоды с/м/б.сах 200гр,good_493
Жаркое с грибами 200гр.,good_494
Свиная отбивная 80/20гр,good_495
Морковь/сыр/майонез 120гр,good_496
Зразы рыбные/сыр 100гр,good_497
Чахохбили из кур 75/50гр,good_498
Кабачки жареные 150гр,good_499
Лимонад грушевый 200гр,good_500
С-т из баклажан/перец/кинза 120гр,good_501
Компот из св.груш/ягоды с/м 200гр,good_502
Лимонад розовый 200гр,good_503
Суп-пюре из цв.кап 250гр,good_504
Пирожок Слойка/мясо,good_505
Котлета куриная/зеленое масло 120гр,good_506
Фасоль черная/фета 120гр,good_507
Баклажаны гриль/с.йогуртовый 150/20гр,good_508
С-т из кальмар/огурцы/заправка 120гр,good_509
Котлета овощная 1шт в асс,good_510
Пирог Осетинский/картоф/щавель 1кусок,good_511
Компот из мандарин 200гр,good_512
Суп гороховый/копчености/рулька 250гр,good_513
Свинина по-французски 80/20гр,good_514
С-т из б/к/свекла 120гр,good_515
Спагетти по-румынски 150гр,good_516
Напиток из яблок/ягод с/м/б.сах 200гр,good_517
С-т из помидор/кр.лук/кинза 120гр,good_518
С-т из помидор/огурец/базилик 120гр,good_519
Кур.филе припущен/сельдереем 80/20гр,good_520
Свинина/цуккини/сыр 80/20гр,good_521
Суп-пюре из кабачков/сельдерея 250гр,good_522
Лазанья грибная 200гр,good_523
С-т Кремлевский/креветки/запр 120гр,good_524
Карри желтый/тыква/рис 200гр,good_525
Рыба запеч/жульен овощной 80/20гр,good_526
Салат бар/доп.ассортимент 1кг,good_527
Свинина с овощным рататуем 80/40гр,good_528
Свиная отбивная/с.барбекю 80/15гр,good_529
Суп-пюре из кабачков 250гр,good_530
Печень жареная/с.Терияки 100гр,good_531
Яйца перепелиные/овощная икра 120гр,good_532
С-т Греческий/заправка 120гр,good_533
Салат бар 1кг,good_534
Щи из кваш.кап/картофель 250гр,good_535
Пирожок с мясом,good_536
Суп Минестроне/овощной 250гр,good_537
С-т Весна/сметана 120гр,good_538
С-т айсберг/хурма/перепелиное яйцо 120гр,good_539
С-т из редиса/з.из брынзы 120гр,good_540
С-т Чука/горбуша 120гр,good_541
Плов Весенний 200гр,good_542
Кур.филе с помидором 80/20гр,good_543
Суп холодный на кефире 250гр,good_544
Винегрет овощной 120гр,good_545
Свекольник с мясом/горячий 250гр,good_546
Суп-лапша яичная/утка 250гр,good_547
Окрошка овощная/кефир 250гр,good_548
С-т из кур/сельдер/гренки/с.цезарь 120гр,good_549
Люля-кебаб из баранины 100/20гр,good_550
Суп-пюре из овощей с/м 250гр,good_551
Биточки мясные/с.Неаполитано 100/40гр,good_552
Медальоны свиные Барбекю 100гр,good_553
Юшка с кабачками 250гр,good_554
Фасоль с томатом/кинза 150гр,good_555
Говядина туш/грибы 75/50гр,good_556
Пирог Осетинский/капустой 1кусок,good_557
С-т с острым цыпленком/ананас/рос 120гр,good_558
С-т китайский/свинина 120гр,good_559
С-т из ветч/грибы/ябл/сельдерей 120гр,good_560
Крокеты из индейки/черносл/с.чили 120/20,good_561
С-т с копч.сыром/кур/с.йогуртовый 120гр,good_562
Котлета Домашняя 100гр,good_563
Индейка/вяленые томаты 80гр,good_564
Лимонад вишневый 200гр,good_565
Суп по-испански/овощи 250гр,good_566
С-т из б/к/огур/редис/масло 120гр,good_567
Кур.филе/с.тайский/овощи 130гр,good_568
С-т Аччик/масло 120гр,good_569
Борщ Украинский/рулька/пампушки 250гр,good_570
С-т айсберг/ветчина/вял.томаты 120гр,good_571
Говядина туш.бобами/овощи 75/50 гр,good_572
Капуста туш/пряности 150гр,good_573
